,input.source,input.ap,input.states,input.edges,input.transitions,Acceptance Sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,Base,Skip,Jump,SkipJump,BaseMin,SkipMin,JumpMin,SkipJumpMin
81,random_automata.hoa:2089.1-2119.7,4,7,15,15,2,1,2,1,0,160,122,160,122,67,67,67,67
82,random_automata.hoa:2120.1-2140.7,4,4,8,8,2,2,1,1,0,36,31,36,31,15,15,15,15
83,random_automata.hoa:2141.1-2170.7,4,6,15,15,2,1,0,0,0,35,28,35,28,25,25,25,25
84,random_automata.hoa:2171.1-2195.7,4,5,11,11,2,1,0,0,0,26,20,26,20,17,17,17,17
85,random_automata.hoa:2196.1-2214.7,4,4,6,6,2,1,0,0,0,22,17,14,9,5,5,5,5
86,random_automata.hoa:2215.1-2238.7,4,5,10,10,2,2,0,0,0,30,24,30,24,20,20,14,14
87,random_automata.hoa:2239.1-2264.7,4,6,11,11,2,1,1,1,0,120,85,120,85,36,36,36,36
88,random_automata.hoa:2265.1-2289.7,2,5,11,11,3,1,2,1,0,136,123,136,123,81,81,81,81
89,random_automata.hoa:2290.1-2311.7,2,5,8,8,3,2,2,1,0,81,71,74,54,46,46,21,21
90,random_automata.hoa:2312.1-2326.7,2,2,4,4,3,1,1,1,0,46,40,21,16,24,24,8,8
91,random_automata.hoa:2327.1-2359.7,2,7,17,17,3,2,3,1,0,725,624,378,310,213,213,137,137
92,random_automata.hoa:2360.1-2390.7,2,7,15,15,3,1,1,1,0,232,184,173,125,69,69,39,39
93,random_automata.hoa:2391.1-2425.7,2,7,19,19,3,2,4,1,0,371,312,365,306,103,103,104,104
94,random_automata.hoa:2426.1-2454.7,2,6,14,14,3,1,2,1,0,386,333,169,129,102,102,76,76
95,random_automata.hoa:2455.1-2470.7,2,3,4,4,3,1,0,0,0,24,20,16,12,15,15,8,8
96,random_automata.hoa:2471.1-2504.7,2,7,18,18,3,1,3,1,0,256,224,256,224,91,91,91,91
97,random_automata.hoa:2505.1-2536.7,2,7,16,16,3,1,3,1,0,264,219,216,171,93,93,82,82
98,random_automata.hoa:2537.1-2551.7,2,2,4,4,3,1,0,0,0,21,18,15,12,13,13,9,9
99,random_automata.hoa:2552.1-2571.7,2,4,7,7,3,1,0,0,0,35,30,33,28,19,19,13,13
100,random_automata.hoa:2572.1-2599.7,2,6,13,13,3,1,1,1,0,187,157,103,75,80,80,52,52
101,random_automata.hoa:2600.1-2632.7,2,7,17,17,3,1,3,1,0,865,705,793,634,202,202,206,206
102,random_automata.hoa:2633.1-2667.7,2,7,19,19,3,3,2,1,0,4667,3567,4515,3413,821,821,796,796
103,random_automata.hoa:2668.1-2680.7,2,2,2,2,3,1,0,0,0,16,13,8,5,3,3,3,3
104,random_automata.hoa:2681.1-2704.7,2,5,10,10,3,1,1,1,0,285,231,285,231,76,76,76,76
105,random_automata.hoa:2705.1-2730.7,2,6,11,11,3,1,1,1,0,305,232,305,232,99,99,99,99
106,random_automata.hoa:2731.1-2760.7,2,7,14,14,3,1,3,1,0,463,403,357,292,132,132,120,120
107,random_automata.hoa:2761.1-2779.7,2,4,6,6,3,1,0,0,0,31,26,27,22,21,21,11,11
108,random_automata.hoa:2780.1-2813.7,2,7,18,18,3,2,2,1,0,430,358,301,242,118,118,74,74
109,random_automata.hoa:2814.1-2837.7,2,5,10,10,3,1,2,1,0,171,155,156,140,92,92,67,67
110,random_automata.hoa:2838.1-2870.7,3,7,17,17,3,1,1,1,0,186,149,152,115,34,34,29,29
111,random_automata.hoa:2871.1-2895.7,3,5,11,11,3,2,0,0,0,37,32,17,12,27,27,11,11
112,random_automata.hoa:2896.1-2926.7,3,7,15,15,3,1,2,1,0,298,253,298,253,96,96,96,96
113,random_automata.hoa:2927.1-2957.7,3,7,15,15,3,1,1,1,0,329,286,329,286,97,97,97,97
114,random_automata.hoa:2958.1-2991.7,3,7,18,18,3,1,1,1,0,556,491,556,491,183,183,183,183
115,random_automata.hoa:2992.1-3020.7,3,7,13,13,3,3,1,1,0,90,77,100,83,34,34,32,32
116,random_automata.hoa:3021.1-3052.7,3,7,16,16,3,2,1,1,0,460,414,460,414,130,130,130,130
117,random_automata.hoa:3053.1-3085.7,3,7,17,17,3,2,1,1,0,301,208,223,145,54,54,49,49
118,random_automata.hoa:3086.1-3118.7,3,7,17,17,3,1,3,1,0,748,578,737,566,144,144,142,142
119,random_automata.hoa:3119.1-3147.7,3,7,13,13,3,1,0,0,0,46,38,46,38,31,31,31,31
120,random_automata.hoa:3148.1-3173.7,3,6,11,11,3,1,1,1,0,196,166,196,166,74,74,74,74
121,random_automata.hoa:3174.1-3201.7,3,6,13,13,3,1,1,1,0,146,120,146,120,33,33,36,36
122,random_automata.hoa:3202.1-3231.7,3,7,14,14,3,1,1,1,0,555,434,553,432,79,79,81,81
123,random_automata.hoa:3232.1-3264.7,3,7,17,17,3,1,4,1,0,432,374,432,374,132,132,132,132
124,random_automata.hoa:3265.1-3288.7,3,5,10,10,3,1,1,1,0,309,270,162,129,69,69,53,53
125,random_automata.hoa:3289.1-3309.7,3,4,8,8,3,1,2,1,0,118,103,96,81,35,35,34,34
126,random_automata.hoa:3310.1-3332.7,3,5,9,9,3,1,0,0,0,32,26,20,14,21,21,11,11
127,random_automata.hoa:3333.1-3363.7,3,7,15,15,3,1,1,1,0,259,218,248,207,51,51,50,50
128,random_automata.hoa:3364.1-3388.7,3,5,11,11,3,1,0,0,0,40,34,40,34,27,27,27,27
129,random_automata.hoa:3389.1-3407.7,3,4,6,6,3,1,0,0,0,34,29,14,9,5,5,5,5
130,random_automata.hoa:3408.1-3431.7,3,5,10,10,3,1,0,0,0,31,25,31,25,11,11,11,11
131,random_automata.hoa:3432.1-3451.7,3,4,7,7,3,3,0,0,0,32,27,26,21,2,2,2,2
132,random_automata.hoa:3452.1-3477.7,3,6,11,11,3,1,1,1,0,80,66,80,66,21,21,21,21
133,random_automata.hoa:3478.1-3500.7,4,5,9,9,3,1,1,1,0,59,48,59,48,21,21,21,21
134,random_automata.hoa:3501.1-3526.7,4,6,11,11,3,2,0,0,0,35,29,35,29,16,16,16,16
135,random_automata.hoa:3527.1-3555.7,4,7,13,13,3,1,1,1,0,185,152,145,112,71,71,49,49
136,random_automata.hoa:3556.1-3585.7,4,6,15,15,3,1,1,1,0,262,216,262,216,82,82,82,82
137,random_automata.hoa:3586.1-3607.7,4,5,8,8,3,1,0,0,0,32,26,32,26,21,21,21,21
138,random_automata.hoa:3608.1-3633.7,4,6,11,11,3,1,1,1,0,124,101,158,120,29,29,63,63
139,random_automata.hoa:3634.1-3665.7,4,7,16,16,3,1,1,1,0,315,274,315,274,107,107,107,107
140,random_automata.hoa:3666.1-3697.7,4,7,16,16,3,1,1,1,0,218,188,218,188,97,97,93,93
141,random_automata.hoa:3698.1-3730.7,4,7,17,17,3,2,1,1,0,85,68,85,68,45,45,47,47
142,random_automata.hoa:3731.1-3751.7,4,4,8,8,3,1,0,0,0,34,29,34,29,23,23,23,23
143,random_automata.hoa:3752.1-3776.7,4,5,11,11,3,1,0,0,0,42,36,42,36,27,27,23,23
144,random_automata.hoa:3777.1-3803.7,4,6,12,12,3,1,1,1,0,353,293,353,293,86,86,86,86
